code_postale;label;lat;long
83460;taradeau;43.460748261;6.430592993
83340;le thoronet;43.458837193;6.283676405
83820;rayol canadel sur mer;43.164153626;6.475314013
84210;althen des paluds;44.005174387;4.958647652
84240;ansouis;43.736610005;5.472027536
84390;aurel;44.138204203;5.396755865
84330;le barroux;44.154558416;5.099882163
84220;beaumettes;43.863322627;5.203026546
84480;bonnieux;43.826950498;5.314742987
84160;cadenet;43.730287843;5.383519168
84850;camaret sur aigues;44.159856068;4.884064554
84200;carpentras;44.059401057;5.061441954
84510;caumont sur durance;43.891652897;4.95616168
84300;cavaillon;43.85053009;5.036113692
84360;lauris;43.763206405;5.302982751
84560;menerbes;43.824118794;5.221006415
84120;mirabeau;43.704643567;5.642882808
84390;monieux;44.057436428;5.341257833
84310;morieres les avignon;43.933579572;4.90857416
84130;le pontet;43.968547069;4.865240397
84110;roaix;44.255151652;5.01495182
84240;sannes;43.757264196;5.487646861
84800;saumane de vaucluse;43.937971109;5.111709226
84700;sorgues;44.015034002;4.866757059
84190;suzette;44.171485238;5.061968024
84530;villelaure;43.707420541;5.430834864
83840;bargeme;43.729949565;6.571045401
83670;barjols;43.552469485;5.987665857
83840;la bastide;43.747937021;6.632908232
83149;bras;43.470276552;5.958376761
83170;camps la source;43.373075075;6.12023956
83570;cotignac;43.523396497;6.14459237
83210;la farlede;43.161547887;6.042887492
83340;flassans sur issole;43.376456675;6.221855089
83780;flayosc;43.542368059;6.362986898
83370;frejus;43.471998616;6.7637263690000005
83130;la garde;43.126817292;6.019395152
83136;gareoult;43.340180553;6.040515622
83580;gassin;43.239612711;6.585814204
83310;grimaud;43.282309787;6.533078256
83340;le luc;43.380492372;6.306553979
83136;meounes les montrieux;43.273712699;5.967082204
83570;montfort sur argens;43.481428079;6.125546986
83490;le muy;43.46874;6.576981879
83860;nans les pins;43.379045269;5.784977895
83136;neoules;43.294362764;6.026162139
83120;le plan de la tour;43.338480402;6.547734778
83520;roquebrune sur argens;43.428640587;6.651852932
83840;la roque esclapon;43.720954726;6.648787392
83170;rougiers;43.382283448;5.851064648
83700;st raphael;43.457632505;6.8474878320000006
83440;seillans;43.64680917;6.612801997
83870;signes;43.277606259;5.857143898
83440;tanneron;43.575103131;6.856352088
83720;trans en provence;43.50209294;6.489066856
83840;trigance;43.741506371;6.436563889
84140;avignon;43.935441391;4.841098248
84120;la bastidonne;43.693594717;5.577953312
84210;le beaucet;43.974770904;5.130795808
84370;bedarrides;44.048012659;4.907946161
84110;buisson;44.276284942;5.001523495
84860;caderousse;44.110288299;4.743713416
84330;caromb;44.111970943;5.106880021
84750;caseneuve;43.888584878;5.479847169
84230;chateauneuf du pape;44.060037857;4.827345437
84350;courthezon;44.086786568;4.882075425
84410;crillon le brave;44.118183107;5.151254357
84160;cucuron;43.778272757;5.443158293
84400;gignac;43.92793003;5.523415981
84400;lagarde d apt;43.984255113;5.481344492
84840;lapalud;44.306638028;4.67983977
84100;orange;44.128989058;4.810276775
84240;peypin d aigues;43.796321889;5.559406181
84190;la roque alric;44.144674981;5.068733958
84400;rustrel;43.929823965;5.475520137
84110;sablet;44.194625067;5.001057038
84390;st christol;44.031283904;5.503658976
84210;st didier;44.009469643;5.108246227
84330;st hippolyte le graveyron;44.120796433;5.076060908
84110;st marcellin les vaison;44.237680214;5.101948419
84330;st pierre de vassols;44.095225784;5.144343084
84490;st saturnin les apt;43.959082698;5.373238088
84260;sarrians;44.099418305;4.957307748
84240;la tour d aigues;43.721716606;5.56738522
84850;travaillan;44.189438315;4.908368837
84110;vaison la romaine;44.247876503;5.060194565
84270;vedene;43.971115337;4.902945698
84820;visan;44.326875817;4.944154695
83630;aiguines;43.72853546;6.304429485
83111;ampus;43.628565104;6.372011613
83560;artigues;43.576458729;5.802377665
83630;aups;43.624951741;6.221333281
83630;baudinard sur verdon;43.713641032;6.133621041
83630;bauduen;43.715553173;6.202629896
83330;le beausset;43.207599292;5.820699742
83230;bormes les mimosas;43.162362497;6.349491009
83340;le cannet des maures;43.373762201;6.375430928
83660;carnoules;43.294452147;6.196839152
83310;cogolin;43.246786273;6.521154338
83570;correns;43.486441513;6.068262984
83420;la croix valmer;43.195605414;6.585791542
83680;la garde freinet;43.323590674;6.467028664
83250;la londe les maures;43.16893078;6.242559738
83510;lorgues;43.481755142;6.358776887
83340;les mayons;43.306581152;6.359963655
83136;mazaugues;43.344667251;5.894997636
83630;moissac bellevue;43.647154809;6.166961039
83131;montferrat;43.636470394;6.47847346
83470;ollieres;43.510453473;5.816777065
83910;pourrieres;43.49405958;5.747046397
